"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","fe80::d3c6:378e:fe43:f907","ff02::1:3","LLMNR","95","Standard query 0x6b7f A BRW184F32B26726"
"2","0.000116","192.168.0.22","224.0.0.252","LLMNR","75","Standard query 0x6b7f A BRW184F32B26726"
"3","0.105787","192.168.0.22","170.114.15.96","TLSv1.2","271","Application Data"
"4","0.197242","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"5","0.311288","170.114.15.96","192.168.0.22","TLSv1.2","249","Application Data"
"6","0.327081","192.168.0.22","192.168.0.255","NBNS","92","Name query NB BRW184F32B26726<00>"
"7","0.357846","192.168.0.22","170.114.15.96","TCP","54","63787  >  443 [ACK] Seq=218 Ack=196 Win=512 Len=0"
"8","0.573952","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"9","0.574295","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"10","0.574707","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"11","0.574935","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"12","1.090089","192.168.0.22","192.168.0.255","NBNS","92","Name query NB BRW184F32B26726<00>"
"13","1.206922","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"14","1.775669","192.168.0.22","3.230.117.174","TLSv1.2","90","Application Data"
"15","1.955036","3.230.117.174","192.168.0.22","TCP","54","443  >  63710 [ACK] Seq=1 Ack=37 Win=250 Len=0"
"16","1.976034","192.168.0.22","192.168.0.255","NBNS","92","Name query NB BRW184F32B26726<00>"
"17","1.976378","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"18","1.976567","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"19","1.977327","fe80::d3c6:378e:fe43:f907","ff02::1:3","LLMNR","95","Standard query 0xd188 A BRW184F32B26726"
"20","1.977548","192.168.0.22","224.0.0.252","LLMNR","75","Standard query 0xd188 A BRW184F32B26726"
"21","1.978071","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"22","1.978321","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"23","2.214593","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"24","2.231347","192.168.0.22","192.168.0.1","DNS","76","Standard query 0x783e A us05www3.zoom.us"
"25","2.261870","192.168.0.22","192.168.0.1","DNS","76","Standard query 0x783e A us05www3.zoom.us"
"26","2.263557","192.168.0.1","192.168.0.22","DNS","114","Standard query response 0x783e A us05www3.zoom.us CNAME us05web.zoom.us A 170.114.52.5"
"27","2.267408","192.168.0.22","170.114.52.5","TCP","66","63989  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"28","2.274298","170.114.52.5","192.168.0.22","TCP","66","443  >  63989 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1420 SACK_PERM WS=8192"
"29","2.274502","192.168.0.22","170.114.52.5","TCP","54","63989  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0"
"30","2.278653","192.168.0.22","170.114.52.5","TLSv1.3","571","Client Hello"
"31","2.285224","170.114.52.5","192.168.0.22","TCP","54","443  >  63989 [ACK] Seq=1 Ack=518 Win=57344 Len=0"
"32","2.340974","192.168.0.22","192.168.0.1","DNS","78","Standard query 0x9443 A wpad.flets-west.jp"
"33","2.359789","192.168.0.1","192.168.0.22","DNS","78","Standard query response 0x9443 No such name A wpad.flets-west.jp"
"34","2.361175","192.168.0.22","192.168.0.1","DNS","73","Standard query 0xee0e A wpad.iptvf.jp"
"35","2.362203","192.168.0.1","192.168.0.22","DNS","73","Standard query response 0xee0e No such name A wpad.iptvf.jp"
"36","2.401012","fe80::d3c6:378e:fe43:f907","ff02::1:3","LLMNR","95","Standard query 0xd188 A BRW184F32B26726"
"37","2.401122","192.168.0.22","224.0.0.252","LLMNR","75","Standard query 0xd188 A BRW184F32B26726"
"38","2.461472","170.114.52.5","192.168.0.22","TLSv1.3","1474","Server Hello, Change Cipher Spec"
"39","2.461472","170.114.52.5","192.168.0.22","TCP","682","443  >  63989 [PSH, ACK] Seq=1421 Ack=518 Win=65536 Len=628 [TCP segment of a reassembled PDU]"
"40","2.461472","170.114.52.5","192.168.0.22","TCP","1474","443  >  63989 [ACK] Seq=2049 Ack=518 Win=65536 Len=1420 [TCP segment of a reassembled PDU]"
"41","2.461472","170.114.52.5","192.168.0.22","TLSv1.3","529","Application Data"
"42","2.461614","192.168.0.22","170.114.52.5","TCP","54","63989  >  443 [ACK] Seq=518 Ack=3944 Win=131840 Len=0"
"43","2.469164","192.168.0.22","170.114.52.5","TLSv1.3","134","Change Cipher Spec, Application Data"
"44","2.469361","192.168.0.22","170.114.52.5","TLSv1.3","3146","Application Data"
"45","2.475828","170.114.52.5","192.168.0.22","TCP","529","[TCP Spurious Retransmission] 443  >  63989 [PSH, ACK] Seq=3469 Ack=518 Win=65536 Len=475"
"46","2.475828","170.114.52.5","192.168.0.22","TCP","54","443  >  63989 [ACK] Seq=3944 Ack=598 Win=57344 Len=0"
"47","2.475943","192.168.0.22","170.114.52.5","TCP","66","[TCP Dup ACK 42#1] 63989  >  443 [ACK] Seq=3690 Ack=3944 Win=131840 Len=0 SLE=3469 SRE=3944"
"48","2.476092","170.114.52.5","192.168.0.22","TCP","54","443  >  63989 [ACK] Seq=3944 Ack=2018 Win=57344 Len=0"
