"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"2","0.000442","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"3","0.000985","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"4","0.001224","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"5","0.521102","192.168.0.22","192.168.0.255","NBNS","92","Name query NB BRW184F32B26726<00>"
"6","0.762642","192.168.0.22","192.168.0.255","NBNS","92","Name query NB BRW184F32B26726<00>"
"7","0.763069","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"8","0.763293","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"9","0.764166","fe80::d3c6:378e:fe43:f907","ff02::1:3","LLMNR","95","Standard query 0x5aad A BRW184F32B26726"
"10","0.764453","192.168.0.22","224.0.0.252","LLMNR","75","Standard query 0x5aad A BRW184F32B26726"
"11","0.764987","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"12","0.765177","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"13","0.866020","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"14","1.186849","fe80::d3c6:378e:fe43:f907","ff02::1:3","LLMNR","95","Standard query 0x5aad A BRW184F32B26726"
"15","1.187012","192.168.0.22","224.0.0.252","LLMNR","75","Standard query 0x5aad A BRW184F32B26726"
"16","1.192392","I-ODataD_2e:0d:dc","IntelCor_d9:40:54","ARP","42","Who has 192.168.0.22? Tell 192.168.0.1"
"17","1.192420","IntelCor_d9:40:54","I-ODataD_2e:0d:dc","ARP","42","192.168.0.22 is at 8c:8d:28:d9:40:54"
"18","1.404447","192.168.0.22","192.168.0.1","DNS","89","Standard query 0x950b A BRW184F32B26726.flets-west.jp"
"19","1.405146","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"20","1.405351","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"21","1.405666","192.168.0.1","192.168.0.22","DNS","89","Standard query response 0x950b No such name A BRW184F32B26726.flets-west.jp"
"22","1.406867","192.168.0.22","192.168.0.1","DNS","84","Standard query 0xcf0c A BRW184F32B26726.iptvf.jp"
"23","1.408267","192.168.0.1","192.168.0.22","DNS","84","Standard query response 0xcf0c No such name A BRW184F32B26726.iptvf.jp"
"24","1.408857","192.168.0.22","192.168.0.255","NBNS","92","Name query NB BRW184F32B26726<00>"
"25","1.409180","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"26","1.409365","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"27","1.410058","fe80::d3c6:378e:fe43:f907","ff02::1:3","LLMNR","95","Standard query 0x29b4 A BRW184F32B26726"
