"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"2","0.186451","192.168.0.22","192.168.0.255","NBNS","92","Name query NB BRW184F32B26726<00>"
"3","0.186847","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"4","0.187069","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"5","0.187843","fe80::d3c6:378e:fe43:f907","ff02::1:3","LLMNR","95","Standard query 0xe108 A BRW184F32B26726"
"6","0.188063","192.168.0.22","224.0.0.252","LLMNR","75","Standard query 0xe108 A BRW184F32B26726"
"7","0.188550","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"8","0.188744","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"9","0.603926","fe80::d3c6:378e:fe43:f907","ff02::1:3","LLMNR","95","Standard query 0xe108 A BRW184F32B26726"
"10","0.604026","192.168.0.22","224.0.0.252","LLMNR","75","Standard query 0xe108 A BRW184F32B26726"
"11","0.940293","192.168.0.22","192.168.0.255","NBNS","92","Name query NB BRW184F32B26726<00>"
"12","1.007454","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"13","1.189432","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"14","1.189609","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"15","1.396043","192.168.0.22","192.168.0.1","DNS","76","Standard query 0x3371 A us05www3.zoom.us"
"16","1.431620","192.168.0.22","192.168.0.1","DNS","76","Standard query 0x3371 A us05www3.zoom.us"
"17","1.431703","192.168.0.22","52.200.56.241","TCP","54","63834  >  443 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"18","1.455052","192.168.0.1","192.168.0.22","DNS","114","Standard query response 0x3371 A us05www3.zoom.us CNAME us05web.zoom.us A 170.114.52.5"
"19","1.455754","192.168.0.1","192.168.0.22","DNS","121","Standard query response 0x3371 A us05www3.zoom.us CNAME us05web.zoom.us A 170.114.52.5"
"20","1.464221","192.168.0.22","170.114.52.5","TCP","66","63887  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"21","1.470657","170.114.52.5","192.168.0.22","TCP","66","443  >  63887 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1420 SACK_PERM WS=8192"
"22","1.470766","192.168.0.22","170.114.52.5","TCP","54","63887  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0"
"23","1.475276","192.168.0.22","170.114.52.5","TLSv1.3","571","Client Hello"
"24","1.481515","170.114.52.5","192.168.0.22","TCP","54","443  >  63887 [ACK] Seq=1 Ack=518 Win=57344 Len=0"
"25","1.574286","192.168.0.22","192.168.0.1","DNS","78","Standard query 0x9d93 A wpad.flets-west.jp"
"26","1.575416","192.168.0.1","192.168.0.22","DNS","78","Standard query response 0x9d93 No such name A wpad.flets-west.jp"
"27","1.576070","192.168.0.22","192.168.0.1","DNS","73","Standard query 0x1032 A wpad.iptvf.jp"
"28","1.576900","192.168.0.1","192.168.0.22","DNS","73","Standard query response 0x1032 No such name A wpad.iptvf.jp"
"29","1.660083","170.114.52.5","192.168.0.22","TLSv1.3","1474","Server Hello, Change Cipher Spec"
"30","1.660083","170.114.52.5","192.168.0.22","TCP","682","443  >  63887 [PSH, ACK] Seq=1421 Ack=518 Win=65536 Len=628 [TCP segment of a reassembled PDU]"
"31","1.660083","170.114.52.5","192.168.0.22","TCP","1474","443  >  63887 [ACK] Seq=2049 Ack=518 Win=65536 Len=1420 [TCP segment of a reassembled PDU]"
"32","1.660083","170.114.52.5","192.168.0.22","TLSv1.3","529","Application Data"
"33","1.660083","170.114.52.5","192.168.0.22","TCP","529","[TCP Retransmission] 443  >  63887 [PSH, ACK] Seq=3469 Ack=518 Win=65536 Len=475"
"34","1.660311","192.168.0.22","170.114.52.5","TCP","66","63887  >  443 [ACK] Seq=518 Ack=3944 Win=131840 Len=0 SLE=3469 SRE=3944"
"35","1.669684","192.168.0.22","170.114.52.5","TLSv1.3","134","Change Cipher Spec, Application Data"
"36","1.670088","192.168.0.22","170.114.52.5","TLSv1.3","3137","Application Data"
"37","1.675973","170.114.52.5","192.168.0.22","TCP","54","443  >  63887 [ACK] Seq=3944 Ack=598 Win=57344 Len=0"
"38","1.676675","170.114.52.5","192.168.0.22","TCP","54","443  >  63887 [ACK] Seq=3944 Ack=3681 Win=57344 Len=0"
"39","1.697196","192.168.0.22","192.168.0.255","NBNS","92","Name query NB BRW184F32B26726<00>"
"40","2.021660","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"41","2.478945","192.168.0.21","224.0.0.251","MDNS","168","Standard query 0x004e PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _EE8F75E5._sub._googlecast._tcp.local, ""QM"" question PTR _CFE7FEDA._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"42","2.609861","170.114.52.5","192.168.0.22","TCP","54","443  >  63790 [ACK] Seq=1 Ack=1 Win=8 Len=0"
