"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"2","0.087949","fe80::d3c6:378e:fe43:f907","ff02::1:3","LLMNR","95","Standard query 0xc88f A BRW184F32B26726"
"3","0.088036","192.168.0.22","224.0.0.252","LLMNR","75","Standard query 0xc88f A BRW184F32B26726"
"4","0.410334","192.168.0.22","192.168.0.255","NBNS","92","Name query NB BRW184F32B26726<00>"
"5","0.669425","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"6","0.669762","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"7","0.670165","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"8","0.670402","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"9","1.003056","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"10","1.033922","192.168.0.21","224.0.0.251","MDNS","168","Standard query 0x007f PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _EE8F75E5._sub._googlecast._tcp.local, ""QM"" question PTR _CFE7FEDA._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"11","1.171499","192.168.0.22","192.168.0.255","NBNS","92","Name query NB BRW184F32B26726<00>"
"12","1.556230","192.168.0.22","192.168.0.1","DNS","76","Standard query 0x362e A us05www3.zoom.us"
"13","1.587509","192.168.0.22","192.168.0.1","DNS","76","Standard query 0x362e A us05www3.zoom.us"
"14","1.610313","192.168.0.1","192.168.0.22","DNS","114","Standard query response 0x362e A us05www3.zoom.us CNAME us05web.zoom.us A 170.114.52.5"
"15","1.611035","192.168.0.1","192.168.0.22","DNS","121","Standard query response 0x362e A us05www3.zoom.us CNAME us05web.zoom.us A 170.114.52.5"
"16","1.614013","192.168.0.22","170.114.52.5","TCP","66","64317  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"17","1.620455","170.114.52.5","192.168.0.22","TCP","66","443  >  64317 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1420 SACK_PERM WS=8192"
"18","1.620543","192.168.0.22","170.114.52.5","TCP","54","64317  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0"
"19","1.625953","192.168.0.22","170.114.52.5","TLSv1.3","571","Client Hello"
"20","1.634042","170.114.52.5","192.168.0.22","TCP","54","443  >  64317 [ACK] Seq=1 Ack=518 Win=57344 Len=0"
"21","1.706074","192.168.0.22","192.168.0.1","DNS","78","Standard query 0x1582 A wpad.flets-west.jp"
"22","1.713002","192.168.0.1","192.168.0.22","DNS","78","Standard query response 0x1582 No such name A wpad.flets-west.jp"
"23","1.713672","192.168.0.22","192.168.0.1","DNS","73","Standard query 0x2361 A wpad.iptvf.jp"
"24","1.714498","192.168.0.1","192.168.0.22","DNS","73","Standard query response 0x2361 No such name A wpad.iptvf.jp"
"25","1.814767","170.114.52.5","192.168.0.22","TLSv1.3","1474","Server Hello, Change Cipher Spec"
"26","1.814767","170.114.52.5","192.168.0.22","TCP","682","443  >  64317 [PSH, ACK] Seq=1421 Ack=518 Win=65536 Len=628 [TCP segment of a reassembled PDU]"
"27","1.814767","170.114.52.5","192.168.0.22","TCP","1474","443  >  64317 [ACK] Seq=2049 Ack=518 Win=65536 Len=1420 [TCP segment of a reassembled PDU]"
"28","1.814767","170.114.52.5","192.168.0.22","TLSv1.3","529","Application Data"
"29","1.814891","192.168.0.22","170.114.52.5","TCP","54","64317  >  443 [ACK] Seq=518 Ack=3944 Win=131840 Len=0"
"30","1.815030","170.114.52.5","192.168.0.22","TCP","529","[TCP Spurious Retransmission] 443  >  64317 [PSH, ACK] Seq=3469 Ack=518 Win=65536 Len=475"
"31","1.815049","192.168.0.22","170.114.52.5","TCP","66","[TCP Dup ACK 29#1] 64317  >  443 [ACK] Seq=518 Ack=3944 Win=131840 Len=0 SLE=3469 SRE=3944"
"32","1.827462","192.168.0.22","170.114.52.5","TLSv1.3","134","Change Cipher Spec, Application Data"
"33","1.827873","192.168.0.22","170.114.52.5","TLSv1.3","3135","Application Data"
"34","1.833616","170.114.52.5","192.168.0.22","TCP","54","443  >  64317 [ACK] Seq=3944 Ack=598 Win=57344 Len=0"
"35","1.834399","170.114.52.5","192.168.0.22","TCP","54","443  >  64317 [ACK] Seq=3944 Ack=3438 Win=57344 Len=0"
"36","1.834399","170.114.52.5","192.168.0.22","TCP","54","443  >  64317 [ACK] Seq=3944 Ack=3679 Win=57344 Len=0"
"37","2.006550","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"38","2.037201","192.168.0.22","192.168.0.255","NBNS","92","Name query NB BRW184F32B26726<00>"
"39","2.037433","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"40","2.037568","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"41","2.038096","fe80::d3c6:378e:fe43:f907","ff02::1:3","LLMNR","95","Standard query 0x2461 A BRW184F32B26726"
"42","2.038215","192.168.0.22","224.0.0.252","LLMNR","75","Standard query 0x2461 A BRW184F32B26726"
"43","2.038489","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"44","2.038589","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"45","2.454621","fe80::d3c6:378e:fe43:f907","ff02::1:3","LLMNR","95","Standard query 0x2461 A BRW184F32B26726"
