"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.22","192.168.0.255","NBNS","92","Name query NB BRW184F32B26726<00>"
"2","0.031540","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"3","0.224564","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"4","0.224845","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"5","0.256344","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"6","0.256487","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"7","0.763218","192.168.0.22","192.168.0.255","NBNS","92","Name query NB BRW184F32B26726<00>"
"8","1.034919","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"9","1.450536","192.168.0.22","20.198.2.181","TLSv1.2","1702","Application Data"
"10","1.450726","192.168.0.22","20.198.2.181","TLSv1.2","1873","Application Data"
"11","1.610377","20.198.2.181","192.168.0.22","TCP","54","443  >  63933 [ACK] Seq=1 Ack=1649 Win=2052 Len=0"
"12","1.610377","20.198.2.181","192.168.0.22","TCP","54","443  >  63933 [ACK] Seq=1 Ack=3468 Win=2052 Len=0"
"13","1.610377","20.198.2.181","192.168.0.22","TCP","1474","443  >  63933 [ACK] Seq=1 Ack=3468 Win=2052 Len=1420 [TCP segment of a reassembled PDU]"
"14","1.610377","20.198.2.181","192.168.0.22","TLSv1.2","951","Application Data"
"15","1.610624","192.168.0.22","20.198.2.181","TCP","54","63933  >  443 [ACK] Seq=3468 Ack=2318 Win=515 Len=0"
"16","1.622452","192.168.0.22","192.168.0.255","NBNS","92","Name query NB BRW184F32B26726<00>"
"17","1.622820","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"18","1.623049","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"19","1.623078","192.168.0.22","20.198.2.181","TLSv1.2","1689","Application Data"
"20","1.623735","fe80::d3c6:378e:fe43:f907","ff02::1:3","LLMNR","95","Standard query 0xb84c A BRW184F32B26726"
"21","1.623984","192.168.0.22","224.0.0.252","LLMNR","75","Standard query 0xb84c A BRW184F32B26726"
"22","1.624446","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"23","1.624646","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"24","1.752959","20.198.2.181","192.168.0.22","TCP","54","443  >  63933 [ACK] Seq=2318 Ack=5103 Win=2052 Len=0"
"25","1.839699","192.168.0.22","192.168.0.1","DNS","76","Standard query 0x8832 A us05www3.zoom.us"
"26","1.846467","192.168.0.1","192.168.0.22","DNS","114","Standard query response 0x8832 A us05www3.zoom.us CNAME us05web.zoom.us A 170.114.52.5"
"27","1.859488","192.168.0.22","170.114.52.5","TCP","66","63965  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"28","1.865289","170.114.52.5","192.168.0.22","TCP","66","443  >  63965 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1420 SACK_PERM WS=8192"
"29","1.865431","192.168.0.22","170.114.52.5","TCP","54","63965  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0"
"30","1.876344","192.168.0.22","170.114.52.5","TLSv1.3","571","Client Hello"
"31","1.922789","170.114.52.5","192.168.0.22","TCP","54","443  >  63965 [ACK] Seq=1 Ack=518 Win=57344 Len=0"
"32","2.042509","192.168.0.22","192.168.0.1","DNS","78","Standard query 0x7330 A wpad.flets-west.jp"
"33","2.043724","192.168.0.1","192.168.0.22","DNS","78","Standard query response 0x7330 No such name A wpad.flets-west.jp"
"34","2.044584","192.168.0.22","192.168.0.1","DNS","73","Standard query 0x3bb3 A wpad.iptvf.jp"
"35","2.045405","192.168.0.1","192.168.0.22","DNS","73","Standard query response 0x3bb3 No such name A wpad.iptvf.jp"
"36","2.048262","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"37","2.048294","fe80::d3c6:378e:fe43:f907","ff02::1:3","LLMNR","95","Standard query 0xb84c A BRW184F32B26726"
"38","2.048394","192.168.0.22","224.0.0.252","LLMNR","75","Standard query 0xb84c A BRW184F32B26726"
"39","2.122276","170.114.52.5","192.168.0.22","TLSv1.3","1474","Server Hello, Change Cipher Spec"
"40","2.122276","170.114.52.5","192.168.0.22","TCP","682","443  >  63965 [PSH, ACK] Seq=1421 Ack=518 Win=65536 Len=628 [TCP segment of a reassembled PDU]"
"41","2.122276","170.114.52.5","192.168.0.22","TCP","1474","443  >  63965 [ACK] Seq=2049 Ack=518 Win=65536 Len=1420 [TCP segment of a reassembled PDU]"
"42","2.122276","170.114.52.5","192.168.0.22","TLSv1.3","529","Application Data"
"43","2.122276","170.114.52.5","192.168.0.22","TCP","529","[TCP Retransmission] 443  >  63965 [PSH, ACK] Seq=3469 Ack=518 Win=65536 Len=475"
