"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.22","192.168.0.255","NBNS","92","Name query NB BRW184F32B26726<00>"
"2","0.033823","192.168.0.22","170.114.15.96","TLSv1.2","271","Application Data"
"3","0.217989","170.114.15.96","192.168.0.22","TLSv1.2","249","Application Data"
"4","0.250129","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"5","0.250426","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"6","0.250842","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"7","0.251080","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"8","0.267682","192.168.0.22","170.114.15.96","TCP","54","63787  >  443 [ACK] Seq=218 Ack=196 Win=513 Len=0"
"9","0.705561","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"10","0.758094","192.168.0.22","192.168.0.255","NBNS","92","Name query NB BRW184F32B26726<00>"
"11","1.102265","192.168.0.22","54.243.37.18","TCP","54","63980  >  443 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"12","1.634937","192.168.0.22","192.168.0.1","DNS","89","Standard query 0x72a0 A BRW184F32B26726.flets-west.jp"
"13","1.635598","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"14","1.635811","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"15","1.636298","192.168.0.1","192.168.0.22","DNS","89","Standard query response 0x72a0 No such name A BRW184F32B26726.flets-west.jp"
"16","1.637494","192.168.0.22","192.168.0.1","DNS","84","Standard query 0x7d5f A BRW184F32B26726.iptvf.jp"
"17","1.638594","192.168.0.1","192.168.0.22","DNS","84","Standard query response 0x7d5f No such name A BRW184F32B26726.iptvf.jp"
"18","1.639141","192.168.0.22","192.168.0.255","NBNS","92","Name query NB BRW184F32B26726<00>"
"19","1.639449","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"20","1.639620","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"21","1.640280","fe80::d3c6:378e:fe43:f907","ff02::1:3","LLMNR","95","Standard query 0x9711 A BRW184F32B26726"
"22","1.640484","192.168.0.22","224.0.0.252","LLMNR","75","Standard query 0x9711 A BRW184F32B26726"
"23","1.720396","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"24","1.948122","192.168.0.21","224.0.0.251","MDNS","168","Standard query 0x0057 PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _EE8F75E5._sub._googlecast._tcp.local, ""QM"" question PTR _CFE7FEDA._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"25","2.048862","fe80::d3c6:378e:fe43:f907","ff02::1:3","LLMNR","95","Standard query 0x9711 A BRW184F32B26726"
"26","2.048973","192.168.0.22","224.0.0.252","LLMNR","75","Standard query 0x9711 A BRW184F32B26726"
"27","2.386674","192.168.0.22","192.168.0.255","NBNS","92","Name query NB BRW184F32B26726<00>"
"28","2.439957","192.168.0.22","192.168.0.1","DNS","76","Standard query 0x45e2 A us05www3.zoom.us"
"29","2.460098","192.168.0.1","192.168.0.22","DNS","114","Standard query response 0x45e2 A us05www3.zoom.us CNAME us05web.zoom.us A 170.114.52.5"
"30","2.471159","192.168.0.22","170.114.52.5","TCP","66","64012  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"31","2.476965","170.114.52.5","192.168.0.22","TCP","66","443  >  64012 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1420 SACK_PERM WS=8192"
"32","2.477068","192.168.0.22","170.114.52.5","TCP","54","64012  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0"
"33","2.486101","192.168.0.22","170.114.52.5","TLSv1.3","571","Client Hello"
"34","2.491613","170.114.52.5","192.168.0.22","TCP","54","443  >  64012 [ACK] Seq=1 Ack=518 Win=57344 Len=0"
"35","2.619398","192.168.0.22","192.168.0.1","DNS","78","Standard query 0x3fa4 A wpad.flets-west.jp"
"36","2.640492","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"37","2.640710","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"38","2.640936","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"39","2.641065","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"40","2.659760","170.114.52.5","192.168.0.22","TLSv1.3","1474","Server Hello, Change Cipher Spec"
"41","2.659760","170.114.52.5","192.168.0.22","TCP","682","443  >  64012 [PSH, ACK] Seq=1421 Ack=518 Win=65536 Len=628 [TCP segment of a reassembled PDU]"
"42","2.659760","170.114.52.5","192.168.0.22","TCP","1474","443  >  64012 [ACK] Seq=2049 Ack=518 Win=65536 Len=1420 [TCP segment of a reassembled PDU]"
"43","2.659760","170.114.52.5","192.168.0.22","TLSv1.3","529","Application Data"
