"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.22","192.168.0.255","NBNS","92","Name query NB BRW184F32B26726<00>"
"2","0.124776","192.168.0.22","170.114.15.96","TLSv1.2","84","Application Data"
"3","0.238974","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"4","0.239110","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"5","0.239404","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"6","0.239559","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"7","0.388278","170.114.15.96","192.168.0.22","TCP","54","443  >  63787 [ACK] Seq=1 Ack=31 Win=27 Len=0"
"8","0.535781","I-ODataD_2e:0d:dc","IntelCor_d9:40:54","ARP","42","Who has 192.168.0.22? Tell 192.168.0.1"
"9","0.535830","IntelCor_d9:40:54","I-ODataD_2e:0d:dc","ARP","42","192.168.0.22 is at 8c:8d:28:d9:40:54"
"10","0.754963","192.168.0.22","192.168.0.255","NBNS","92","Name query NB BRW184F32B26726<00>"
"11","0.802533","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"12","1.139522","192.168.0.22","192.168.11.15","TCP","66","64120  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"13","1.139523","192.168.0.22","100.126.117.182","TCP","66","64122  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"14","1.139522","192.168.0.22","100.126.106.86","TCP","66","64121  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15","1.139523","192.168.0.22","192.168.11.20","TCP","66","64123  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"16","1.724982","192.168.0.18","224.0.0.251","MDNS","152","Standard query 0x000b PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _CFE7FEDA._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"17","1.804499","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"18","2.807778","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"19","2.926384","192.168.0.22","239.255.255.250","SSDP","483","NOTIFY * HTTP/1.1 "
"20","2.927346","fe80::d3c6:378e:fe43:f907","ff02::c","SSDP","512","NOTIFY * HTTP/1.1 "
"21","2.957577","192.168.0.22","239.255.255.250","SSDP","539","NOTIFY * HTTP/1.1 "
"22","2.957750","fe80::d3c6:378e:fe43:f907","ff02::c","SSDP","568","NOTIFY * HTTP/1.1 "
"23","2.957914","192.168.0.22","239.255.255.250","SSDP","547","NOTIFY * HTTP/1.1 "
"24","2.958047","fe80::d3c6:378e:fe43:f907","ff02::c","SSDP","576","NOTIFY * HTTP/1.1 "
"25","2.958193","192.168.0.22","239.255.255.250","SSDP","549","NOTIFY * HTTP/1.1 "
"26","2.958266","fe80::d3c6:378e:fe43:f907","ff02::c","SSDP","578","NOTIFY * HTTP/1.1 "
"27","3.025597","192.168.0.22","239.255.255.250","SSDP","483","NOTIFY * HTTP/1.1 "
"28","3.025885","fe80::d3c6:378e:fe43:f907","ff02::c","SSDP","512","NOTIFY * HTTP/1.1 "
"29","3.057524","192.168.0.22","239.255.255.250","SSDP","483","NOTIFY * HTTP/1.1 "
"30","3.057808","fe80::d3c6:378e:fe43:f907","ff02::c","SSDP","512","NOTIFY * HTTP/1.1 "
"31","3.073001","192.168.0.22","239.255.255.250","SSDP","547","NOTIFY * HTTP/1.1 "
"32","3.073276","fe80::d3c6:378e:fe43:f907","ff02::c","SSDP","576","NOTIFY * HTTP/1.1 "
"33","3.205075","192.168.0.22","239.255.255.250","SSDP","483","NOTIFY * HTTP/1.1 "
"34","3.205343","fe80::d3c6:378e:fe43:f907","ff02::c","SSDP","512","NOTIFY * HTTP/1.1 "
"35","3.226076","192.168.0.22","239.255.255.250","SSDP","547","NOTIFY * HTTP/1.1 "
"36","3.226372","fe80::d3c6:378e:fe43:f907","ff02::c","SSDP","576","NOTIFY * HTTP/1.1 "
"37","3.243049","192.168.0.22","239.255.255.250","SSDP","483","NOTIFY * HTTP/1.1 "
"38","3.243334","fe80::d3c6:378e:fe43:f907","ff02::c","SSDP","512","NOTIFY * HTTP/1.1 "
"39","3.243676","192.168.0.22","239.255.255.250","SSDP","492","NOTIFY * HTTP/1.1 "
"40","3.243940","fe80::d3c6:378e:fe43:f907","ff02::c","SSDP","521","NOTIFY * HTTP/1.1 "
"41","3.244258","192.168.0.22","239.255.255.250","SSDP","547","NOTIFY * HTTP/1.1 "
"42","3.244480","fe80::d3c6:378e:fe43:f907","ff02::c","SSDP","576","NOTIFY * HTTP/1.1 "
"43","3.244798","192.168.0.22","239.255.255.250","SSDP","492","NOTIFY * HTTP/1.1 "
"44","3.245017","fe80::d3c6:378e:fe43:f907","ff02::c","SSDP","521","NOTIFY * HTTP/1.1 "
"45","3.291227","192.168.0.22","239.255.255.250","SSDP","549","NOTIFY * HTTP/1.1 "
"46","3.291533","fe80::d3c6:378e:fe43:f907","ff02::c","SSDP","578","NOTIFY * HTTP/1.1 "
"47","3.291908","192.168.0.22","239.255.255.250","SSDP","483","NOTIFY * HTTP/1.1 "
"48","3.292150","fe80::d3c6:378e:fe43:f907","ff02::c","SSDP","512","NOTIFY * HTTP/1.1 "
"49","3.357926","192.168.0.22","239.255.255.250","SSDP","492","NOTIFY * HTTP/1.1 "
"50","3.358215","fe80::d3c6:378e:fe43:f907","ff02::c","SSDP","521","NOTIFY * HTTP/1.1 "
"51","3.389265","192.168.0.22","239.255.255.250","SSDP","537","NOTIFY * HTTP/1.1 "
"52","3.389601","fe80::d3c6:378e:fe43:f907","ff02::c","SSDP","566","NOTIFY * HTTP/1.1 "
"53","3.389885","192.168.0.22","239.255.255.250","SSDP","549","NOTIFY * HTTP/1.1 "
"54","3.390187","fe80::d3c6:378e:fe43:f907","ff02::c","SSDP","578","NOTIFY * HTTP/1.1 "
"55","3.426255","192.168.0.22","239.255.255.250","SSDP","537","NOTIFY * HTTP/1.1 "
"56","3.426616","fe80::d3c6:378e:fe43:f907","ff02::c","SSDP","566","NOTIFY * HTTP/1.1 "
"57","3.474183","192.168.0.22","239.255.255.250","SSDP","492","NOTIFY * HTTP/1.1 "
"58","3.474528","fe80::d3c6:378e:fe43:f907","ff02::c","SSDP","521","NOTIFY * HTTP/1.1 "
"59","3.562968","192.168.0.22","239.255.255.250","SSDP","537","NOTIFY * HTTP/1.1 "
"60","3.563146","fe80::d3c6:378e:fe43:f907","ff02::c","SSDP","566","NOTIFY * HTTP/1.1 "
"61","3.659446","192.168.0.22","239.255.255.250","SSDP","539","NOTIFY * HTTP/1.1 "
"62","3.659709","fe80::d3c6:378e:fe43:f907","ff02::c","SSDP","568","NOTIFY * HTTP/1.1 "
"63","3.659946","192.168.0.22","239.255.255.250","SSDP","539","NOTIFY * HTTP/1.1 "
"64","3.660175","fe80::d3c6:378e:fe43:f907","ff02::c","SSDP","568","NOTIFY * HTTP/1.1 "
"65","3.660397","192.168.0.22","239.255.255.250","SSDP","483","NOTIFY * HTTP/1.1 "
"66","3.660573","fe80::d3c6:378e:fe43:f907","ff02::c","SSDP","512","NOTIFY * HTTP/1.1 "
"67","3.674434","192.168.0.22","239.255.255.250","SSDP","492","NOTIFY * HTTP/1.1 "
"68","3.674630","fe80::d3c6:378e:fe43:f907","ff02::c","SSDP","521","NOTIFY * HTTP/1.1 "
"69","3.674824","192.168.0.22","239.255.255.250","SSDP","537","NOTIFY * HTTP/1.1 "
