"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"2","0.070160","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"3","0.070321","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"4","0.070549","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"5","0.070664","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"6","0.119585","fe80::d3c6:378e:fe43:f907","ff02::1:3","LLMNR","95","Standard query 0x0a61 A BRW184F32B26726"
"7","0.119711","192.168.0.22","224.0.0.252","LLMNR","75","Standard query 0x0a61 A BRW184F32B26726"
"8","0.452857","192.168.0.22","192.168.0.255","NBNS","92","Name query NB BRW184F32B26726<00>"
"9","0.584894","192.168.0.22","192.168.0.255","NBNS","92","Name query NB BRW184F32B26726<00>"
"10","0.704001","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"11","0.704315","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"12","0.704708","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"13","0.704934","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"14","1.002355","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"15","1.218989","192.168.0.22","192.168.0.255","NBNS","92","Name query NB BRW184F32B26726<00>"
"16","1.435559","192.168.0.22","192.168.10.109","TCP","66","64165  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"17","1.435568","192.168.0.22","100.126.8.86","TCP","66","64166  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"18","1.435609","IntelCor_d9:40:54","Broadcast","ARP","42","Who has 192.168.0.3? Tell 192.168.0.22"
"19","1.435640","192.168.0.22","192.168.11.7","TCP","66","64168  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"20","1.456157","192.168.0.22","192.168.0.1","DNS","89","Standard query 0xe731 A BRW184F32B26726.flets-west.jp"
"21","1.456739","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"22","1.456952","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"23","1.494871","192.168.0.1","192.168.0.22","DNS","89","Standard query response 0xe731 No such name A BRW184F32B26726.flets-west.jp"
"24","1.495575","192.168.0.22","192.168.0.1","DNS","84","Standard query 0xf5bb A BRW184F32B26726.iptvf.jp"
"25","1.496587","192.168.0.1","192.168.0.22","DNS","84","Standard query response 0xf5bb No such name A BRW184F32B26726.iptvf.jp"
"26","1.496877","192.168.0.22","192.168.0.255","NBNS","92","Name query NB BRW184F32B26726<00>"
"27","1.497046","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"28","1.497158","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"29","1.497568","fe80::d3c6:378e:fe43:f907","ff02::1:3","LLMNR","95","Standard query 0xcd5b A BRW184F32B26726"
"30","1.497677","192.168.0.22","224.0.0.252","LLMNR","75","Standard query 0xcd5b A BRW184F32B26726"
"31","1.655333","192.168.0.22","170.114.60.11","TCP","54","64116  >  443 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"32","1.902991","fe80::d3c6:378e:fe43:f907","ff02::1:3","LLMNR","95","Standard query 0xcd5b A BRW184F32B26726"
"33","1.903216","192.168.0.22","224.0.0.252","LLMNR","75","Standard query 0xcd5b A BRW184F32B26726"
"34","1.973453","192.168.0.22","192.168.0.1","DNS","89","Standard query 0x80e9 A BRW184F32B26726.flets-west.jp"
"35","1.974141","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"36","1.974353","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"37","2.006912","192.168.0.1","192.168.0.22","DNS","89","Standard query response 0x80e9 No such name A BRW184F32B26726.flets-west.jp"
"38","2.007523","192.168.0.22","192.168.0.1","DNS","84","Standard query 0x2fed A BRW184F32B26726.iptvf.jp"
"39","2.008666","192.168.0.1","192.168.0.22","DNS","84","Standard query response 0x2fed No such name A BRW184F32B26726.iptvf.jp"
"40","2.008950","192.168.0.22","192.168.0.255","NBNS","92","Name query NB BRW184F32B26726<00>"
"41","2.009101","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"42","2.009181","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"43","2.009463","fe80::d3c6:378e:fe43:f907","ff02::1:3","LLMNR","95","Standard query 0xe561 A BRW184F32B26726"
"44","2.009558","192.168.0.22","224.0.0.252","LLMNR","75","Standard query 0xe561 A BRW184F32B26726"
"45","2.011676","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"46","2.256290","192.168.0.22","192.168.0.255","NBNS","92","Name query NB BRW184F32B26726<00>"
"47","2.356353","IntelCor_d9:40:54","Broadcast","ARP","42","Who has 192.168.0.3? Tell 192.168.0.22"
"48","2.407246","fe80::d3c6:378e:fe43:f907","ff02::1:3","LLMNR","95","Standard query 0xe561 A BRW184F32B26726"
"49","2.407422","192.168.0.22","224.0.0.252","LLMNR","75","Standard query 0xe561 A BRW184F32B26726"
"50","2.457015","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"51","2.457259","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"52","2.491128","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"53","2.491545","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"54","2.557929","192.168.0.22","192.168.0.1","DNS","76","Standard query 0xd896 A us05www3.zoom.us"
"55","2.564137","192.168.0.1","192.168.0.22","DNS","114","Standard query response 0xd896 A us05www3.zoom.us CNAME us05web.zoom.us A 170.114.52.5"
"56","2.573146","192.168.0.22","170.114.52.5","TCP","66","64170  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"57","2.625907","170.114.52.5","192.168.0.22","TCP","66","443  >  64170 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1420 SACK_PERM WS=8192"
"58","2.626034","192.168.0.22","170.114.52.5","TCP","54","64170  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0"
"59","2.637379","192.168.0.22","170.114.52.5","TLSv1.3","571","Client Hello"
"60","2.651869","170.114.52.5","192.168.0.22","TCP","54","443  >  64170 [ACK] Seq=1 Ack=518 Win=57344 Len=0"
"61","2.723861","192.168.0.22","192.168.0.1","DNS","78","Standard query 0x4d4c A wpad.flets-west.jp"
"62","2.725013","192.168.0.1","192.168.0.22","DNS","78","Standard query response 0x4d4c No such name A wpad.flets-west.jp"
"63","2.725531","192.168.0.22","192.168.0.1","DNS","73","Standard query 0x8956 A wpad.iptvf.jp"
"64","2.726382","192.168.0.1","192.168.0.22","DNS","73","Standard query response 0x8956 No such name A wpad.iptvf.jp"
"65","2.746990","192.168.0.22","192.168.0.255","NBNS","92","Name query NB BRW184F32B26726<00>"
"66","2.825242","170.114.52.5","192.168.0.22","TLSv1.3","1474","Server Hello, Change Cipher Spec"
"67","2.825242","170.114.52.5","192.168.0.22","TCP","682","443  >  64170 [PSH, ACK] Seq=1421 Ack=518 Win=65536 Len=628 [TCP segment of a reassembled PDU]"
"68","2.825242","170.114.52.5","192.168.0.22","TCP","1474","443  >  64170 [ACK] Seq=2049 Ack=518 Win=65536 Len=1420 [TCP segment of a reassembled PDU]"
"69","2.825242","170.114.52.5","192.168.0.22","TLSv1.3","529","Application Data"
"70","2.825242","170.114.52.5","192.168.0.22","TCP","529","[TCP Retransmission] 443  >  64170 [PSH, ACK] Seq=3469 Ack=518 Win=65536 Len=475"
"71","2.825487","192.168.0.22","170.114.52.5","TCP","66","64170  >  443 [ACK] Seq=518 Ack=3944 Win=131840 Len=0 SLE=3469 SRE=3944"
"72","2.831509","192.168.0.22","170.114.52.5","TLSv1.3","134","Change Cipher Spec, Application Data"
"73","2.831859","192.168.0.22","170.114.52.5","TLSv1.3","3139","Application Data"
"74","2.839326","170.114.52.5","192.168.0.22","TCP","54","443  >  64170 [ACK] Seq=3944 Ack=598 Win=57344 Len=0"
"75","2.839326","170.114.52.5","192.168.0.22","TCP","54","443  >  64170 [ACK] Seq=3944 Ack=2018 Win=57344 Len=0"
