"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"2","0.000204","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"3","0.049201","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"4","0.049481","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"5","0.584289","192.168.0.22","192.168.0.255","NBNS","92","Name query NB BRW184F32B26726<00>"
"6","0.618252","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"7","1.218969","192.168.0.22","192.168.0.1","DNS","76","Standard query 0x407e A us05www3.zoom.us"
"8","1.224979","192.168.0.1","192.168.0.22","DNS","114","Standard query response 0x407e A us05www3.zoom.us CNAME us05web.zoom.us A 170.114.52.5"
"9","1.235690","192.168.0.22","170.114.52.5","TCP","66","64297  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"10","1.241460","170.114.52.5","192.168.0.22","TCP","66","443  >  64297 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1420 SACK_PERM WS=8192"
"11","1.241551","192.168.0.22","170.114.52.5","TCP","54","64297  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0"
"12","1.246268","192.168.0.22","170.114.52.5","TLSv1.3","571","Client Hello"
"13","1.299725","170.114.52.5","192.168.0.22","TCP","54","443  >  64297 [ACK] Seq=1 Ack=518 Win=57344 Len=0"
"14","1.330067","192.168.0.22","192.168.0.1","DNS","78","Standard query 0x9fdb A wpad.flets-west.jp"
"15","1.331118","192.168.0.1","192.168.0.22","DNS","78","Standard query response 0x9fdb No such name A wpad.flets-west.jp"
"16","1.331715","192.168.0.22","192.168.0.1","DNS","73","Standard query 0x40b2 A wpad.iptvf.jp"
"17","1.332515","192.168.0.1","192.168.0.22","DNS","73","Standard query response 0x40b2 No such name A wpad.iptvf.jp"
"18","1.413863","170.114.52.5","192.168.0.22","TLSv1.3","1474","Server Hello, Change Cipher Spec"
