"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","IntelCor_d9:40:54","Broadcast","ARP","42","Who has 192.168.0.10? Tell 192.168.0.22"
"2","0.000331","192.168.0.22","192.168.0.255","NBNS","92","Name query NB BRW184F32B26726<00>"
"3","0.048241","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"4","0.056251","192.168.0.21","224.0.0.251","MDNS","168","Standard query 0x006c PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _EE8F75E5._sub._googlecast._tcp.local, ""QM"" question PTR _CFE7FEDA._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"5","1.052885","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"6","1.570704","192.168.0.22","192.168.11.9","TCP","66","64199  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"7","1.570734","192.168.0.22","100.126.7.6","TCP","66","64201  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"8","1.570734","192.168.0.22","192.168.11.15","TCP","66","64202  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"9","1.570851","192.168.0.22","100.126.7.146","TCP","66","64200  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"10","1.804544","13.88.181.35","192.168.0.22","TCP","54","443  >  63671 [ACK] Seq=1 Ack=1 Win=13 Len=0"
"11","1.804629","192.168.0.22","13.88.181.35","TCP","54","[TCP ACKed unseen segment] 63671  >  443 [ACK] Seq=1 Ack=2 Win=511 Len=0"
"12","2.054674","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"13","3.021094","13.88.181.35","192.168.0.22","TCP","54","443  >  63998 [ACK] Seq=1 Ack=1 Win=2 Len=0"
"14","3.021165","192.168.0.22","13.88.181.35","TCP","54","[TCP ACKed unseen segment] 63998  >  443 [ACK] Seq=1 Ack=2 Win=514 Len=0"
"15","3.073980","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"16","3.438302","192.168.0.22","192.168.0.1","DNS","76","Standard query 0xd1e5 A us05www3.zoom.us"
"17","3.474009","192.168.0.22","192.168.0.1","DNS","76","Standard query 0xd1e5 A us05www3.zoom.us"
"18","3.480709","192.168.0.1","192.168.0.22","DNS","114","Standard query response 0xd1e5 A us05www3.zoom.us CNAME us05web.zoom.us A 170.114.52.5"
"19","3.490077","192.168.0.22","170.114.52.5","TCP","66","64203  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"20","3.537485","170.114.52.5","192.168.0.22","TCP","66","443  >  64203 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1420 SACK_PERM WS=8192"
"21","3.537832","192.168.0.22","170.114.52.5","TCP","54","64203  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0"
"22","3.542815","192.168.0.22","170.114.52.5","TLSv1.3","571","Client Hello"
"23","3.548971","170.114.52.5","192.168.0.22","TCP","54","443  >  64203 [ACK] Seq=1 Ack=518 Win=57344 Len=0"
"24","3.655929","192.168.0.22","192.168.0.1","DNS","78","Standard query 0x4af7 A wpad.flets-west.jp"
