"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.22","192.168.10.101","TCP","66","64278  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2","-0.000001","192.168.0.22","100.126.119.90","TCP","66","64277  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"3","-0.000001","192.168.0.22","100.126.29.16","TCP","66","64276  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"4","-0.000001","192.168.0.22","192.168.10.130","TCP","66","64275  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"5","0.007868","27.86.45.169","192.168.0.22","ICMP","110","Destination unreachable (Communication administratively filtered)"
"6","0.305304","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"7","1.317459","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"8","2.003330","192.168.0.22","100.126.119.90","TCP","66","[TCP Retransmission] 64277  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"9","2.003336","192.168.0.22","192.168.10.130","TCP","66","[TCP Retransmission] 64275  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"10","2.003336","192.168.0.22","100.126.29.16","TCP","66","[TCP Retransmission] 64276  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"11","2.003336","192.168.0.22","192.168.10.101","TCP","66","[TCP Retransmission] 64278  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12","2.307022","192.168.0.22","192.168.0.1","DNS","76","Standard query 0x170b A us05www3.zoom.us"
"13","2.321789","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"14","2.337017","192.168.0.22","192.168.0.1","DNS","76","Standard query 0x170b A us05www3.zoom.us"
"15","2.338287","192.168.0.1","192.168.0.22","DNS","114","Standard query response 0x170b A us05www3.zoom.us CNAME us05web.zoom.us A 170.114.52.5"
"16","2.347479","192.168.0.22","170.114.52.5","TCP","66","64279  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"17","2.353672","170.114.52.5","192.168.0.22","TCP","66","443  >  64279 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1420 SACK_PERM WS=8192"
"18","2.353801","192.168.0.22","170.114.52.5","TCP","54","64279  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0"
"19","2.357992","192.168.0.22","170.114.52.5","TLSv1.3","571","Client Hello"
"20","2.364040","170.114.52.5","192.168.0.22","TCP","54","443  >  64279 [ACK] Seq=1 Ack=518 Win=57344 Len=0"
"21","2.537283","170.114.52.5","192.168.0.22","TLSv1.3","1474","Server Hello, Change Cipher Spec"
"22","2.537283","170.114.52.5","192.168.0.22","TCP","682","443  >  64279 [PSH, ACK] Seq=1421 Ack=518 Win=65536 Len=628 [TCP segment of a reassembled PDU]"
"23","2.537283","170.114.52.5","192.168.0.22","TCP","1474","443  >  64279 [ACK] Seq=2049 Ack=518 Win=65536 Len=1420 [TCP segment of a reassembled PDU]"
"24","2.537283","170.114.52.5","192.168.0.22","TLSv1.3","529","Application Data"
"25","2.537421","192.168.0.22","170.114.52.5","TCP","54","64279  >  443 [ACK] Seq=518 Ack=3944 Win=131840 Len=0"
"26","2.540218","192.168.0.22","170.114.52.5","TLSv1.3","134","Change Cipher Spec, Application Data"
"27","2.540453","192.168.0.22","170.114.52.5","TLSv1.3","3155","Application Data"
"28","2.541634","170.114.52.5","192.168.0.22","TCP","529","[TCP Spurious Retransmission] 443  >  64279 [PSH, ACK] Seq=3469 Ack=518 Win=65536 Len=475"
"29","2.541662","192.168.0.22","170.114.52.5","TCP","66","[TCP Dup ACK 25#1] 64279  >  443 [ACK] Seq=3699 Ack=3944 Win=131840 Len=0 SLE=3469 SRE=3944"
"30","2.546123","170.114.52.5","192.168.0.22","TCP","54","443  >  64279 [ACK] Seq=3944 Ack=598 Win=57344 Len=0"
"31","2.546973","170.114.52.5","192.168.0.22","TCP","54","443  >  64279 [ACK] Seq=3944 Ack=2018 Win=57344 Len=0"
"32","2.546973","170.114.52.5","192.168.0.22","TCP","54","443  >  64279 [ACK] Seq=3944 Ack=3699 Win=57344 Len=0"
"33","3.081921","170.114.52.5","192.168.0.22","TLSv1.3","1474","Application Data"
"34","3.081921","170.114.52.5","192.168.0.22","TLSv1.3","1474","Application Data"
"35","3.081921","170.114.52.5","192.168.0.22","TLSv1.3","478","Application Data"
"36","3.082126","192.168.0.22","170.114.52.5","TCP","54","64279  >  443 [ACK] Seq=3699 Ack=7208 Win=131840 Len=0"
"37","3.082316","170.114.52.5","192.168.0.22","TLSv1.3","1445","Application Data"
"38","3.082399","192.168.0.22","170.114.52.5","TCP","54","64279  >  443 [ACK] Seq=3699 Ack=8599 Win=130560 Len=0"
"39","3.082454","170.114.52.5","192.168.0.22","TLSv1.3","1474","Application Data"
"40","3.082454","170.114.52.5","192.168.0.22","TLSv1.3","1416","Application Data"
"41","3.082454","170.114.52.5","192.168.0.22","TLSv1.3","1474","Application Data"
"42","3.082529","192.168.0.22","170.114.52.5","TCP","54","64279  >  443 [ACK] Seq=3699 Ack=12801 Win=131840 Len=0"
"43","3.082675","170.114.52.5","192.168.0.22","TLSv1.3","1474","Application Data"
"44","3.082675","170.114.52.5","192.168.0.22","TLSv1.3","904","Application Data"
"45","3.082764","192.168.0.22","170.114.52.5","TCP","54","64279  >  443 [ACK] Seq=3699 Ack=15071 Win=131840 Len=0"
"46","3.276248","170.114.52.5","192.168.0.22","TLSv1.3","1474","Application Data"
"47","3.276248","170.114.52.5","192.168.0.22","TLSv1.3","1474","Application Data"
"48","3.276248","170.114.52.5","192.168.0.22","TCP","1310","443  >  64279 [PSH, ACK] Seq=17911 Ack=3699 Win=65536 Len=1256 [TCP segment of a reassembled PDU]"
"49","3.276406","192.168.0.22","170.114.52.5","TCP","54","64279  >  443 [ACK] Seq=3699 Ack=19167 Win=131840 Len=0"
"50","3.276529","170.114.52.5","192.168.0.22","TLSv1.3","1474","Application Data"
"51","3.276529","170.114.52.5","192.168.0.22","TLSv1.3","555","Application Data, Application Data, Application Data"
"52","3.276639","192.168.0.22","170.114.52.5","TCP","54","64279  >  443 [ACK] Seq=3699 Ack=21088 Win=131840 Len=0"
"53","3.328888","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"54","3.465957","192.168.0.22","206.247.148.213","TCP","66","64282  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"55","3.466154","192.168.0.22","192.168.0.1","DNS","86","Standard query 0x6e68 AAAA zoomdcaii213zc.dca.zoom.us"
"56","3.466162","192.168.0.22","192.168.0.1","DNS","86","Standard query 0xa4a4 AAAA zoompaobn253zc.pao.zoom.us"
"57","3.466165","192.168.0.22","192.168.0.1","DNS","86","Standard query 0xd9ca AAAA zoomdcaih213zc.dca.zoom.us"
"58","3.466222","192.168.0.22","206.247.149.213","TCP","66","64283  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"59","3.466290","192.168.0.22","192.168.0.1","DNS","86","Standard query 0xe7b4 AAAA zoompaobm253zc.pao.zoom.us"
"60","3.466420","192.168.0.22","144.195.39.253","TCP","66","64284  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"61","3.466629","192.168.0.22","144.195.38.253","TCP","66","64285  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"62","3.467600","192.168.0.1","192.168.0.22","DNS","86","Standard query response 0x6e68 AAAA zoomdcaii213zc.dca.zoom.us"
"63","3.472604","192.168.0.1","192.168.0.22","DNS","171","Standard query response 0xa4a4 AAAA zoompaobn253zc.pao.zoom.us SOA ns-1403.awsdns-47.org"
"64","3.472863","192.168.0.1","192.168.0.22","DNS","173","Standard query response 0xd9ca AAAA zoomdcaih213zc.dca.zoom.us SOA ns-1777.awsdns-30.co.uk"
"65","3.473014","192.168.0.1","192.168.0.22","DNS","171","Standard query response 0xe7b4 AAAA zoompaobm253zc.pao.zoom.us SOA ns-1403.awsdns-47.org"
"66","3.594227","144.195.39.253","192.168.0.22","TCP","66","443  >  64284 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1420 SACK_PERM WS=4096"
"67","3.594227","144.195.38.253","192.168.0.22","TCP","66","443  >  64285 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1420 SACK_PERM WS=4096"
"68","3.594467","192.168.0.22","144.195.39.253","TCP","54","64284  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0"
"69","3.594540","192.168.0.22","144.195.38.253","TCP","54","64285  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0"
"70","3.595027","192.168.0.22","144.195.39.253","TLSv1.3","571","Client Hello"
"71","3.595399","192.168.0.22","144.195.38.253","TLSv1.3","571","Client Hello"
"72","3.663535","206.247.149.213","192.168.0.22","TCP","66","443  >  64283 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1420 SACK_PERM WS=4096"
"73","3.663535","206.247.148.213","192.168.0.22","TCP","66","443  >  64282 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1420 SACK_PERM WS=4096"
"74","3.663679","192.168.0.22","206.247.149.213","TCP","54","64283  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0"
"75","3.663727","192.168.0.22","206.247.148.213","TCP","54","64282  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0"
"76","3.664022","192.168.0.22","206.247.149.213","TLSv1.3","571","Client Hello"
"77","3.664381","192.168.0.22","206.247.148.213","TLSv1.3","571","Client Hello"
"78","3.766012","144.195.39.253","192.168.0.22","TCP","54","443  >  64284 [ACK] Seq=1 Ack=518 Win=45056 Len=0"
"79","3.766012","144.195.39.253","192.168.0.22","TLSv1.3","153","Hello Retry Request, Change Cipher Spec"
"80","3.766012","144.195.38.253","192.168.0.22","TCP","54","443  >  64285 [ACK] Seq=1 Ack=518 Win=45056 Len=0"
"81","3.766012","144.195.38.253","192.168.0.22","TLSv1.3","153","Hello Retry Request, Change Cipher Spec"
"82","3.766369","192.168.0.22","144.195.39.253","TLSv1.3","577","Change Cipher Spec, Client Hello"
"83","3.766589","192.168.0.22","144.195.38.253","TLSv1.3","577","Change Cipher Spec, Client Hello"
"84","3.868431","206.247.149.213","192.168.0.22","TCP","54","443  >  64283 [ACK] Seq=1 Ack=518 Win=45056 Len=0"
"85","3.868431","206.247.149.213","192.168.0.22","TLSv1.3","153","Hello Retry Request, Change Cipher Spec"
"86","3.868431","206.247.148.213","192.168.0.22","TCP","54","443  >  64282 [ACK] Seq=1 Ack=518 Win=45056 Len=0"
"87","3.868431","206.247.148.213","192.168.0.22","TLSv1.3","153","Hello Retry Request, Change Cipher Spec"
"88","3.868883","192.168.0.22","206.247.149.213","TLSv1.3","577","Change Cipher Spec, Client Hello"
"89","3.869108","192.168.0.22","206.247.148.213","TLSv1.3","577","Change Cipher Spec, Client Hello"
"90","3.888920","144.195.39.253","192.168.0.22","TLSv1.3","1474","Server Hello, Application Data"
"91","3.889128","144.195.39.253","192.168.0.22","TCP","1474","443  >  64284 [ACK] Seq=1520 Ack=1041 Win=45056 Len=1420 [TCP segment of a reassembled PDU]"
"92","3.889208","192.168.0.22","144.195.39.253","TCP","54","64284  >  443 [ACK] Seq=1041 Ack=2940 Win=131840 Len=0"
"93","3.889299","144.195.39.253","192.168.0.22","TCP","1310","443  >  64284 [PSH, ACK] Seq=2940 Ack=1041 Win=45056 Len=1256 [TCP segment of a reassembled PDU]"
"94","3.890141","144.195.39.253","192.168.0.22","TLSv1.3","968","Application Data, Application Data, Application Data"
"95","3.890182","192.168.0.22","144.195.39.253","TCP","54","64284  >  443 [ACK] Seq=1041 Ack=5110 Win=131840 Len=0"
"96","3.892789","192.168.0.22","144.195.39.253","TLSv1.3","128","Application Data"
"97","3.892950","192.168.0.22","144.195.39.253","TLSv1.3","201","Application Data"
"98","3.894028","144.195.38.253","192.168.0.22","TLSv1.3","1474","Server Hello, Application Data"
"99","3.894235","144.195.38.253","192.168.0.22","TCP","1474","443  >  64285 [ACK] Seq=1520 Ack=1041 Win=45056 Len=1420 [TCP segment of a reassembled PDU]"
"100","3.894288","192.168.0.22","144.195.38.253","TCP","54","64285  >  443 [ACK] Seq=1041 Ack=2940 Win=131840 Len=0"
"101","3.894490","144.195.38.253","192.168.0.22","TCP","1310","443  >  64285 [PSH, ACK] Seq=2940 Ack=1041 Win=45056 Len=1256 [TCP segment of a reassembled PDU]"
"102","3.895142","144.195.38.253","192.168.0.22","TLSv1.3","968","Application Data, Application Data, Application Data"
"103","3.895183","192.168.0.22","144.195.38.253","TCP","54","64285  >  443 [ACK] Seq=1041 Ack=5110 Win=131840 Len=0"
"104","3.896909","192.168.0.22","144.195.38.253","TLSv1.3","128","Application Data"
"105","3.897044","192.168.0.22","144.195.38.253","TLSv1.3","201","Application Data"
"106","4.014367","144.195.39.253","192.168.0.22","TLSv1.3","133","Application Data"
"107","4.014367","144.195.39.253","192.168.0.22","TLSv1.3","133","Application Data"
"108","4.014465","192.168.0.22","144.195.39.253","TCP","54","64284  >  443 [ACK] Seq=1262 Ack=5268 Win=131840 Len=0"
