"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"2","1.000613","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"3","1.887788","192.168.0.22","192.168.0.1","DNS","76","Standard query 0x444e A us05www3.zoom.us"
"4","1.917435","192.168.0.22","192.168.0.1","DNS","76","Standard query 0x444e A us05www3.zoom.us"
"5","1.925462","192.168.0.1","192.168.0.22","DNS","114","Standard query response 0x444e A us05www3.zoom.us CNAME us05web.zoom.us A 170.114.52.5"
"6","1.930522","192.168.0.22","170.114.52.5","TCP","66","64091  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"7","1.936249","170.114.52.5","192.168.0.22","TCP","66","443  >  64091 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1420 SACK_PERM WS=8192"
"8","1.936342","192.168.0.22","170.114.52.5","TCP","54","64091  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0"
"9","1.941126","192.168.0.22","170.114.52.5","TLSv1.3","571","Client Hello"
"10","1.947017","170.114.52.5","192.168.0.22","TCP","54","443  >  64091 [ACK] Seq=1 Ack=518 Win=57344 Len=0"
"11","2.009950","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"12","2.019952","192.168.0.22","192.168.0.1","DNS","78","Standard query 0x0776 A wpad.flets-west.jp"
"13","2.022616","192.168.0.1","192.168.0.22","DNS","78","Standard query response 0x0776 No such name A wpad.flets-west.jp"
"14","2.023117","192.168.0.22","192.168.0.1","DNS","73","Standard query 0xed81 A wpad.iptvf.jp"
"15","2.023936","192.168.0.1","192.168.0.22","DNS","73","Standard query response 0xed81 No such name A wpad.iptvf.jp"
"16","2.124348","170.114.52.5","192.168.0.22","TLSv1.3","1474","Server Hello, Change Cipher Spec"
"17","2.124348","170.114.52.5","192.168.0.22","TCP","682","443  >  64091 [PSH, ACK] Seq=1421 Ack=518 Win=65536 Len=628 [TCP segment of a reassembled PDU]"
"18","2.124348","170.114.52.5","192.168.0.22","TCP","1474","443  >  64091 [ACK] Seq=2049 Ack=518 Win=65536 Len=1420 [TCP segment of a reassembled PDU]"
"19","2.124348","170.114.52.5","192.168.0.22","TLSv1.3","529","Application Data"
"20","2.124466","192.168.0.22","170.114.52.5","TCP","54","64091  >  443 [ACK] Seq=518 Ack=3944 Win=131840 Len=0"
"21","2.125015","170.114.52.5","192.168.0.22","TCP","529","[TCP Spurious Retransmission] 443  >  64091 [PSH, ACK] Seq=3469 Ack=518 Win=65536 Len=475"
"22","2.125031","192.168.0.22","170.114.52.5","TCP","66","[TCP Dup ACK 20#1] 64091  >  443 [ACK] Seq=518 Ack=3944 Win=131840 Len=0 SLE=3469 SRE=3944"
"23","2.130454","192.168.0.22","170.114.52.5","TLSv1.3","134","Change Cipher Spec, Application Data"
"24","2.130630","192.168.0.22","170.114.52.5","TLSv1.3","3141","Application Data"
"25","2.136011","170.114.52.5","192.168.0.22","TCP","54","443  >  64091 [ACK] Seq=3944 Ack=598 Win=57344 Len=0"
"26","2.137205","170.114.52.5","192.168.0.22","TCP","54","443  >  64091 [ACK] Seq=3944 Ack=3685 Win=57344 Len=0"
"27","2.636447","170.114.52.5","192.168.0.22","TLSv1.3","1474","Application Data"
"28","2.636447","170.114.52.5","192.168.0.22","TLSv1.3","1474","Application Data"
"29","2.636447","170.114.52.5","192.168.0.22","TLSv1.3","1310","Application Data"
"30","2.636447","170.114.52.5","192.168.0.22","TLSv1.3","1474","Application Data"
"31","2.636548","192.168.0.22","170.114.52.5","TCP","54","64091  >  443 [ACK] Seq=3685 Ack=9460 Win=131840 Len=0"
"32","2.636730","170.114.52.5","192.168.0.22","TLSv1.3","1474","Application Data"
"33","2.636730","170.114.52.5","192.168.0.22","TLSv1.3","1474","Application Data"
"34","2.636730","170.114.52.5","192.168.0.22","TLSv1.3","1474","Application Data"
"35","2.636730","170.114.52.5","192.168.0.22","TLSv1.3","1403","Application Data, Application Data"
"36","2.636730","170.114.52.5","192.168.0.22","TLSv1.3","1474","Application Data"
"37","2.636730","170.114.52.5","192.168.0.22","TLSv1.3","1474","Application Data"
"38","2.636730","170.114.52.5","192.168.0.22","TLSv1.3","1474","Application Data"
"39","2.636730","170.114.52.5","192.168.0.22","TLSv1.3","1474","Application Data"
"40","2.636730","170.114.52.5","192.168.0.22","TLSv1.3","358","Application Data"
"41","2.636730","170.114.52.5","192.168.0.22","TLSv1.3","81","Application Data"
"42","2.636730","170.114.52.5","192.168.0.22","TCP","81","[TCP Retransmission] 443  >  64091 [PSH, ACK] Seq=21053 Ack=3685 Win=65536 Len=27"
"43","2.636900","192.168.0.22","170.114.52.5","TCP","66","64091  >  443 [ACK] Seq=3685 Ack=21080 Win=131840 Len=0 SLE=21053 SRE=21080"
"44","2.901052","192.168.0.22","192.168.0.1","DNS","86","Standard query 0x2fb0 A zoompaobn253zc.pao.zoom.us"
"45","2.901485","192.168.0.22","206.247.11.253","TCP","66","64094  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"46","2.901710","192.168.0.22","192.168.0.1","DNS","86","Standard query 0xf656 A zoompaobm253zc.pao.zoom.us"
"47","2.901780","192.168.0.22","192.168.0.1","DNS","86","Standard query 0x5fb6 AAAA zoompaobn253zc.pao.zoom.us"
"48","2.901827","192.168.0.22","192.168.0.1","DNS","86","Standard query 0x3aca AAAA zoomdcahj253zc.dca.zoom.us"
