"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","I-ODataD_2e:0d:dc","Broadcast","ARP","42","Who has 192.168.0.3? Tell 192.168.0.1"
"2","0.188643","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"3","0.410002","192.168.0.22","100.126.106.86","TCP","66","64058  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"4","0.410039","192.168.0.22","192.168.11.7","TCP","66","64059  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"5","0.410100","192.168.0.22","192.168.11.9","TCP","66","64056  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"6","0.410131","192.168.0.22","192.168.10.112","TCP","66","64057  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"7","1.024197","I-ODataD_2e:0d:dc","Broadcast","ARP","42","Who has 192.168.0.3? Tell 192.168.0.1"
"8","1.200022","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"9","1.627385","192.168.0.22","192.168.0.1","DNS","76","Standard query 0x4ab7 A us05www3.zoom.us"
"10","1.634155","192.168.0.1","192.168.0.22","DNS","114","Standard query response 0x4ab7 A us05www3.zoom.us CNAME us05web.zoom.us A 170.114.52.5"
"11","1.649205","192.168.0.22","54.172.117.57","TLSv1.2","317","Application Data"
"12","1.649357","192.168.0.22","170.114.52.5","TCP","66","64060  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"13","1.655621","170.114.52.5","192.168.0.22","TCP","66","443  >  64060 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1420 SACK_PERM WS=8192"
"14","1.655724","192.168.0.22","170.114.52.5","TCP","54","64060  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0"
"15","1.672557","192.168.0.22","170.114.52.5","TLSv1.3","571","Client Hello"
"16","1.727349","170.114.52.5","192.168.0.22","TCP","54","443  >  64060 [ACK] Seq=1 Ack=518 Win=57344 Len=0"
"17","1.835412","54.172.117.57","192.168.0.22","TLSv1.2","87","Application Data"
"18","1.836667","54.172.117.57","192.168.0.22","TLSv1.2","301","Application Data"
"19","1.836697","192.168.0.22","54.172.117.57","TCP","54","63707  >  443 [ACK] Seq=264 Ack=281 Win=511 Len=0"
"20","1.836806","192.168.0.22","192.168.0.1","DNS","78","Standard query 0x871e A wpad.flets-west.jp"
"21","1.838012","192.168.0.1","192.168.0.22","DNS","78","Standard query response 0x871e No such name A wpad.flets-west.jp"
"22","1.838602","192.168.0.22","192.168.0.1","DNS","73","Standard query 0xf4d8 A wpad.iptvf.jp"
"23","1.839351","192.168.0.1","192.168.0.22","DNS","73","Standard query response 0xf4d8 No such name A wpad.iptvf.jp"
"24","1.846751","170.114.52.5","192.168.0.22","TLSv1.3","1474","Server Hello, Change Cipher Spec"
"25","1.846751","170.114.52.5","192.168.0.22","TCP","682","443  >  64060 [PSH, ACK] Seq=1421 Ack=518 Win=65536 Len=628 [TCP segment of a reassembled PDU]"
"26","1.846841","192.168.0.22","170.114.52.5","TCP","54","64060  >  443 [ACK] Seq=518 Ack=2049 Win=131840 Len=0"
"27","1.846947","170.114.52.5","192.168.0.22","TCP","1474","443  >  64060 [ACK] Seq=2049 Ack=518 Win=65536 Len=1420 [TCP segment of a reassembled PDU]"
"28","1.846947","170.114.52.5","192.168.0.22","TLSv1.3","529","Application Data"
"29","1.847078","192.168.0.22","170.114.52.5","TCP","54","64060  >  443 [ACK] Seq=518 Ack=3944 Win=131840 Len=0"
"30","1.857230","192.168.0.22","170.114.52.5","TLSv1.3","134","Change Cipher Spec, Application Data"
"31","1.857545","192.168.0.22","170.114.52.5","TLSv1.3","3147","Application Data"
"32","1.862839","170.114.52.5","192.168.0.22","TCP","54","443  >  64060 [ACK] Seq=3944 Ack=598 Win=57344 Len=0"
"33","1.863676","170.114.52.5","192.168.0.22","TCP","54","443  >  64060 [ACK] Seq=3944 Ack=2018 Win=57344 Len=0"
"34","1.863887","170.114.52.5","192.168.0.22","TCP","54","443  >  64060 [ACK] Seq=3944 Ack=3691 Win=57344 Len=0"
"35","2.047594","I-ODataD_2e:0d:dc","Broadcast","ARP","42","Who has 192.168.0.3? Tell 192.168.0.1"
"36","2.212442","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"37","2.346028","170.114.52.5","192.168.0.22","TLSv1.3","1474","Application Data"
"38","2.346028","170.114.52.5","192.168.0.22","TLSv1.3","1474","Application Data"
"39","2.346028","170.114.52.5","192.168.0.22","TLSv1.3","1310","Application Data"
